1PL	первое лицо, множественное число
1PL.ADD	первое лицо, множественное число, аддитив
1SG	первое лицо, единственное число
2PL	второе лицо, множественное число
2SG	второе лицо, единственное число
3	третье лицо
3PL	третье лицо, множественное число
3SG	третье лицо, единственное число
=ADD	аддитив
=CONTR	контрастив
=EMPH	эмфатическая частица
=ENCL	энклитика
=POL1	энклитическое смягчение категоричности перед императивом
=PTCL	частица
ABL	аблатив
ACC	винительный падеж
ADV	наречие
AGGR	агрегатив
AOR	аорист
AOR.3PL	аорист, третье лицо, множественное число
AOR.3SG	аорист, третье лицо, единственное число
APROX	аппроксиматив
ATT	аттенуатив
ATTR	атрибутив
ATTR.MEAS	атрибутив, количественный показатель
CAR	каритив
CAUS	каузатив
CAUS.DIST	каузатив, искажённая форма
CMPR	сравнительная степень
COLL	собирательность
COM	комитатив
CVB	конверб
CVB.LIM	конверб, ограничительное значение
CVB.POST	конверб, послелог
CVB.SIM	конверб, одновременность
DAT	дательный падеж
DAT.POSS.1SG	дательный падеж, посессивность, первое лицо, единственное число
DAT.POSS.2SG	дательный падеж, посессивность, второе лицо, единственное число
DEADJ	отадъективная деривация
DEB	дебитив
DEB.ADD	дебитив, аддитив
DENOM	отыменный глагол
DENOM1	отыменный глагол
DENOM2	отыменный глагол
DES	дезидератив
DEST	показатель назначения
DETR1	детранзитив
DETR2	детранзитив
EL	элатив
FULL	полная форма
GEN	родительный падеж
ILL	иллатив
ILL2	иллатив
IMP	императив
IMP.2PL	императив, второе лицо, множественное число
IN	инессив
IN2	инессив
INCH	инхоатив
INDEF1	неопределённость
INDEF2	неопределённость
INDEF3	неопределённость
INF	инфинитив
ITER1	итератив
ITER2	итератив
ITER3	итератив
JUSS.PL	юссив, множественное число
JUSS.SG	юссив, единственное число
KIN	показатель термина родства
LAT	латив
LAT2	латив
MAN	глагол образа действия
MED	медиопассив
NACT	отглагольное имя
NAG	имя деятеля
NEG	отрицание
NEG.ATTR	отрицание, атрибутив
NEG.CVB	отрицание, конверб
NEG.PRET	отрицание, претерит
NEG.PTCP	отрицание, причастие
NMLZ	номинализация
NMLZ.ILL	номинализация, иллатив
NMLZ.IN	номинализация, инессив
NPST.1PL	непрошедшее время, первое лицо, множественное число
NPST.1SG	непрошедшее время, первое лицо, единственное число
NPST.2PL	непрошедшее время, второе лицо, множественное число
NPST.2SG	непрошедшее время, второе лицо, единственное число
NPST.3PL	непрошедшее время, третье лицо, множественное число
NPST.3SG	непрошедшее время, третье лицо, единственное число
OPT	оптатив
ORD	порядковое числительное
PART	частица
PL	множественное число
POL2	смягчение категоричности перед императивом, тип 2
POSS.1PL	посессивность, первое лицо, множественное число
POSS.1SG	посессивность, первое лицо, единственное число
POSS.2PL	посессивность, второе лицо, множественное число
POSS.2SG	посессивность, второе лицо, единственное число
POSS.3PL	посессивность, третье лицо, множественное число
POSS.3SG	посессивность, третье лицо, единственное число
PRET	претерит
PROP	проприетив
PTCP.ACT	причастие, действительный залог
PTCP.PASS/NMLZ	причастие, страдательный залог, номинализация
PUN	пунктив
RAR	редкая форма
REFL	рефлексив
RETR1	ретроспективный сдвиг, тип 1
RETR2	ретроспективный сдвиг, тип 2
SEM	семельфактив
SIM	одновременность
SINCE	значение «с тех пор»
STEM	основа
